pae_treatment,temp_treatment,cryo_id,zymokit_id,extraction_id,extr_date,qubit_rna_run_date,qubit_rna_1,qubit_rna_2,qubit_rna_3,qubit_dna_run_date,qubit_dna_1,qubit_dna_2,qubit_dna_3
control,ambient,2-CA2a,2,6, , , , , , , , , 
control,ambient,4-CA1a,2,5, , , , , , , , , 
control,hot,4-CH1a,2,6, , , , , , , , , 
control,hot,3-CH2a,2,5, , , , , , , , , 
environmental,kbay,4-Ea,2,6, , , , , , , , , 
environmental,kbay,2-Ea,2,6, , , , , , , , , 
peak,ambient,1-PA2a,2,5, , , , , , , , , 
peak,ambient,4-PA2a,2,5, , , , , , , , , 
peak,hot,1-PH1a,2,5, , , , , , , , , 
peak,hot,4-PH1a,2,5, , , , , , , , , 
